,,,,,,,,,,,,,,,,,LATITUD,LONGITUD,DISTRITO,TIPO,
10670877,Alumnos de arte del Centro Cultural Sanchinarro,16,1,1,"L,M,X,J,V,S,D",2018-06-01 00:00:00.0,2018-06-30 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=279896c524762610VgnVCM2000001f4a900aRCRD,Exposiciones en el Centro Cultural Sanchinarro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=36f71f890e662610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=12eb70618510f210VgnVCM1000000b205a0aRCRD,Centro Cultural Sanchinarro (Hortaleza),444469,4482391,40.4202770509557,-3.62174107870034,SAN BLAS-CANILLEJAS,/contenido/actividades/Exposiciones,
10717089,Alumnos de Carmen Valle,17,1,1,"L,M,X,J,V,S,D",2018-06-21 00:00:00.0,2018-06-30 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f4a182ad5a5a3610VgnVCM1000001d4a900aRCRD,Alumnos de Carmen Valle,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=307182ad5a5a3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bcc7cbf06c81c010VgnVCM1000000b205a0aRCRD,"Centro Cultural Rafael Altamira, antes Palacete Quinta del Berro (Salamanca)",443760,4474815,40.3921015144859,-3.68162065474619,ARGANZUELA,/contenido/actividades/VeranosVilla,
10717069,Alumnos de Guillermo Stevano,18,1,1,"L,M,X,J,V,S,D",2018-06-11 00:00:00.0,2018-06-20 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=510182ad5a5a3610VgnVCM1000001d4a900aRCRD,Alumnos de Guillermo Stevano,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=91b082ad5a5a3610VgnVCM1000001d4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=bcc7cbf06c81c010VgnVCM1000000b205a0aRCRD,"Centro Cultural Rafael Altamira, antes Palacete Quinta del Berro (Salamanca)",443760,4474815,40.3795846181622,-3.62311034926238,VILLA DE VALLECAS,/contenido/actividades/TeatroPerformance,
10718438,"Alumnos de los talleres de Arte para ni�os, pintura de adultos y fotograf�a digital del Centro Cultural",19,1,1,"L,M,X,J,V,S,D",2018-06-01 00:00:00.0,2018-06-30 23:59:00.0,00:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=087647231a6a3610VgnVCM1000001d4a900aRCRD,Exposiciones en los Centros Culturales de San Blas - Canillejas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1cd9bb2b4ecf2610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=07f63190712b1110VgnVCM1000000b205a0aRCRD,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),449282,4477702,,,,/contenido/actividades/ActividadesCalleArteUrbano,
10718362,Alumnos del Taller de Pintura (Adulto e Infantil),20,1,1,"L,M,X,J,V,S,D",2018-06-05 00:00:00.0,2018-06-19 23:59:00.0,00:00,Exposici�n de pintura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a6ff47231a6a3610VgnVCM1000001d4a900aRCRD,Exposiciones en los Centros Culturales de San Blas - Canillejas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1cd9bb2b4ecf2610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Antonio Machado (San Blas - Canillejas),447255,4474591,40.3668227041488,-3.75545110370932,CARABANCHEL,,
10731194,Anochecer en el Parque,21,0,0,,2018-09-02 00:00:00.0,2018-09-02 23:59:00.0,21:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=489be418a6df3610VgnVCM2000001f4a900aRCRD,Anochecer en el Parque,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8e6ae418a6df3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e09f680e2383e210VgnVCM1000000b205a0aRCRD,Parque Enrique Tierno Galv�n,442261,4471709,40.4061204363896,-3.59673236942084,VICALVARO,/contenido/actividades/Fiestas,
10696326,"Antonio, me aburro",22,1,0,,2018-06-22 00:00:00.0,2018-06-22 23:59:00.0,19:00,Actuaci�n. Teatro adultos    Compa��a:  Coraje teatro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=af593a7330523610VgnVCM1000001d4a900aRCRD,Actividades en el Centro Sociocultural Francisco Fatou,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f954d02ee8120610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d9e73d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Sociocultural Francisco Fatou (Villa de Vallecas),447107,4470075,40.4690329914409,-3.6976620067965,TETUAN,/contenido/actividades/CursosTalleres,
10731211,Apertura y presentaci�n,23,1,0,,2018-06-22 00:00:00.0,2018-06-22 23:59:00.0,20:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d43fe418a6df3610VgnVCM2000001f4a900aRCRD,Fiesta del Fuego,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c7572cbf3ee07510VgnVCM1000001d4a900aRCRD,,,,,40.4690329914409,-3.6976620067965,TETUAN,/contenido/actividades/CursosTalleres,
10600903,Aprende chino con Lihui,24,1,1,M,2018-06-05 00:00:00.0,2018-06-26 23:59:00.0,18:30,"Aprende este idioma milenario de la mano de nuestra amiga Li Hui. �Est�s preparado para aprender la pronunciaci�n, escritura o lectura? No lo dudes y l�nzate a este reto.    Fecha y hora de celebraci�n:  martes de junio de 18:30 a 19:30 horas.   Periodo de inscripci�n:  ?abiertas inscripciones hasta completar aforo.   Plazas:  12",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4a0bbf1731221610VgnVCM2000001f4a900aRCRD,Actividades en el centro juvenil 'Carabanchel Alto'. Junio 2018,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ecfc541470edc310VgnVCM2000000c205a0aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2565d2d6fe9a6110VgnVCM1000000b205a0aRCRD,Centro Juvenil Carabanchel Alto,435861,4468746,40.4690329914409,-3.6976620067965,TETUAN,/contenido/actividades/CursosTalleres,/usuario/Jovenes
10727093,Arte Muh�,25,1,0,,2018-06-24 00:00:00.0,2018-06-24 23:59:00.0,22:00,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=788176b97f9d3610VgnVCM2000001f4a900aRCRD,Arte Muh�,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b40f76b97f9d3610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=883ba0701d0da510VgnVCM1000001d4a900aRCRD,Recinto Ferial Vic�lvaro,449367,4473005,40.4273866830047,-3.71059999554736,CENTRO,/contenido/actividades/Exposiciones,
